"01/10/15 - 01/10/16"
"Client Name","Start Time","End Time","Break Time","Worked Hours","Rate/h","Amount","Note"
"P2","7 September 2016 at 17:42:03","7 September 2016 at 19:09:40","0h 00m","1h 28m","$1,00","$1,47",""
"P1","7 September 2016 at 17:41:56","7 September 2016 at 17:41:58","0h 00m","0h 01m","$1,00","$0,02",""
"Break","7 September 2016 at 16:41:16","7 September 2016 at 17:41:48","0h 00m","1h 01m","$0,05","$0,05",""
"P2","7 September 2016 at 15:38:41","7 September 2016 at 16:41:05","0h 00m","1h 03m","$1,00","$1,05",""
"P2","4 September 2016 at 16:23:00","4 September 2016 at 17:23:00","0h 00m","1h 00m","$1,00","$1,00",""
"Break","4 September 2016 at 15:10:19","4 September 2016 at 15:59:05","0h 00m","0h 49m","$0,05","$0,04",""
"P2","4 September 2016 at 14:14:05","4 September 2016 at 15:10:14","0h 00m","0h 57m","$1,00","$0,95",""
"P2","2 September 2016 at 15:52:28","2 September 2016 at 16:51:28","0h 00m","0h 59m","$1,00","$0,98",""
"Break","31 August 2016 at 07:26:08","31 August 2016 at 09:53:12","0h 00m","2h 28m","$0,05","$0,12",""
"P2","31 August 2016 at 06:41:23","31 August 2016 at 07:26:05","0h 00m","0h 45m","$1,00","$0,75",""
"Break","26 August 2016 at 23:46:26","27 August 2016 at 00:22:10","0h 00m","0h 36m","$0,05","$0,03",""
"P2","26 August 2016 at 23:16:16","26 August 2016 at 23:46:22","0h 00m","0h 31m","$1,00","$0,52",""
"Break","26 August 2016 at 23:00:16","26 August 2016 at 23:16:08","0h 00m","0h 16m","$0,05","$0,01",""
"P2","26 August 2016 at 22:35:41","26 August 2016 at 23:00:12","0h 00m","0h 25m","$1,00","$0,42",""
"Break","26 August 2016 at 22:20:27","26 August 2016 at 22:35:38","0h 00m","0h 16m","$0,05","$0,01",""
"P2","26 August 2016 at 21:15:00","26 August 2016 at 22:20:00","0h 00m","1h 05m","$1,00","$1,08",""
"P2","25 August 2016 at 22:00:00","25 August 2016 at 22:57:00","0h 00m","0h 57m","$1,00","$0,95",""
"P2","24 August 2016 at 23:54:00","25 August 2016 at 01:14:00","0h 00m","1h 20m","$1,00","$1,33",""
"Python","24 August 2016 at 21:13:00","24 August 2016 at 23:51:00","0h 00m","2h 38m","$0,70","$1,84",""
"P2","20 August 2016 at 21:00:00","20 August 2016 at 22:45:00","0h 00m","1h 45m","$1,00","$1,75",""
"Break","19 August 2016 at 01:48:56","19 August 2016 at 01:49:02","0h 00m","0h 01m","$0,05","$0,00",""
"P2","19 August 2016 at 01:16:18","19 August 2016 at 01:48:52","0h 00m","0h 33m","$1,00","$0,55",""
"Break","19 August 2016 at 00:58:17","19 August 2016 at 01:16:13","0h 00m","0h 18m","$0,05","$0,01",""
"P2","19 August 2016 at 00:18:58","19 August 2016 at 00:58:11","0h 00m","0h 40m","$1,00","$0,67",""
"P2","18 August 2016 at 00:20:31","18 August 2016 at 01:23:00","0h 00m","1h 03m","$1,00","$1,05",""
"P2","16 August 2016 at 03:44:30","16 August 2016 at 04:05:12","0h 00m","0h 21m","$1,00","$0,35",""
"P2","16 August 2016 at 00:18:11","16 August 2016 at 01:39:22","0h 00m","1h 22m","$1,00","$1,37",""
"Break","15 August 2016 at 21:35:08","15 August 2016 at 21:35:09","0h 00m","0h 01m","$0,05","$0,00",""
"P2","15 August 2016 at 21:35:00","15 August 2016 at 22:00:00","0h 00m","0h 25m","$1,00","$0,42",""
"Break","15 August 2016 at 20:50:04","15 August 2016 at 21:09:52","0h 00m","0h 20m","$0,05","$0,02",""
"P2","15 August 2016 at 20:02:00","15 August 2016 at 20:49:00","0h 00m","0h 47m","$1,00","$0,78",""
"P2","12 August 2016 at 20:27:54","12 August 2016 at 22:12:00","0h 00m","1h 45m","$1,00","$1,75",""
"P2","12 August 2016 at 19:45:56","12 August 2016 at 20:16:37","0h 00m","0h 31m","$1,00","$0,52",""
"P2","12 August 2016 at 02:17:20","12 August 2016 at 02:53:40","0h 00m","0h 37m","$1,00","$0,62",""
"P2","11 August 2016 at 20:28:54","11 August 2016 at 21:40:45","0h 00m","1h 12m","$1,00","$1,20",""
"P2","10 August 2016 at 22:35:50","11 August 2016 at 00:58:11","0h 00m","2h 23m","$1,00","$2,38",""
"P2","9 August 2016 at 19:53:48","9 August 2016 at 20:28:39","0h 00m","0h 35m","$1,00","$0,58",""
"Break","9 August 2016 at 19:42:37","9 August 2016 at 19:53:44","0h 00m","0h 12m","$0,05","$0,01",""
"P2","9 August 2016 at 17:48:34","9 August 2016 at 19:42:32","0h 00m","1h 54m","$1,00","$1,90",""
"P2","8 August 2016 at 17:38:00","8 August 2016 at 18:38:00","0h 00m","1h 00m","$1,00","$1,00",""
"P2","7 August 2016 at 19:02:09","7 August 2016 at 19:17:54","0h 00m","0h 16m","$1,00","$0,27",""
"P2","7 August 2016 at 01:20:00","7 August 2016 at 02:51:00","0h 00m","1h 31m","$1,00","$1,52",""
"P2","6 August 2016 at 16:00:00","6 August 2016 at 16:30:00","0h 00m","0h 30m","$1,00","$0,50",""
"P2","4 August 2016 at 18:25:00","4 August 2016 at 20:33:00","0h 00m","2h 08m","$1,00","$2,13",""
"P2","4 August 2016 at 01:00:00","4 August 2016 at 03:43:00","0h 00m","2h 43m","$1,00","$2,72",""
"Break","3 August 2016 at 21:36:12","3 August 2016 at 21:51:00","0h 00m","0h 15m","$0,05","$0,01",""
"Break","3 August 2016 at 20:24:24","3 August 2016 at 21:08:26","0h 00m","0h 45m","$0,05","$0,04",""
"P2","3 August 2016 at 20:05:40","3 August 2016 at 20:24:17","0h 00m","0h 19m","$1,00","$0,32",""
"P2","27 July 2016 at 17:21:10","27 July 2016 at 17:59:07","0h 00m","0h 38m","$1,00","$0,63",""
"P2","26 July 2016 at 12:25:41","26 July 2016 at 12:47:20","0h 00m","0h 22m","$1,00","$0,37",""
