room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
6245666,32424177,Shared room,,Financial District,0,,2.0,1.0,210.0,1.0,37.789805,-122.4057,2015-10-22 00:17:12.717602
7745558,36815860,Private room,,Parkside,11,4.5,2.0,1.0,94.0,2.0,37.745383,-122.503222,2015-10-22 20:04:18.647185
421056,65438,Entire home/apt,,Western Addition,31,5.0,,,185.0,3.0,37.772733,-122.436304,2015-10-21 18:05:51.744949
582335,2867852,Entire home/apt,,Marina,6,5.0,,,875.0,4.0,37.80178,-122.437187,2015-10-21 14:20:59.188436
4227441,8812791,Private room,,Haight Ashbury,51,5.0,,,139.0,2.0,37.765669,-122.452784,2015-10-21 17:00:48.530561
3385880,14847683,Entire home/apt,,Mission,5,4.5,4.0,2.0,275.0,2.0,37.769522,-122.422893,2015-10-22 00:51:21.084963
1104116,575879,Private room,,South of Market,22,4.5,,,187.0,2.0,37.780813,-122.405959,2015-10-21 13:37:12.409025
6072316,6148057,Entire home/apt,,Inner Sunset,1,5.0,,4.0,450.0,3.0,37.760507,-122.471412,2015-10-21 23:02:16.209223
960593,285002,Private room,,Haight Ashbury,244,4.5,2.0,1.0,90.0,1.0,37.771494,-122.437317,2015-10-22 22:20:26.060974
5904481,6055758,Entire home/apt,,South of Market,2,5.0,4.0,2.0,295.0,14.0,37.784525,-122.391412,2015-10-22 19:49:32.047086
1171357,1933786,Entire home/apt,,Pacific Heights,32,5.0,,,195.0,1.0,37.793126,-122.423135,2015-10-21 17:56:33.580586
490931,1269188,Private room,,Bernal Heights,79,5.0,,,85.0,2.0,37.747329,-122.419599,2015-10-21 15:06:08.267066
2777105,2627911,Entire home/apt,,Castro/Upper Market,4,5.0,3.0,2.0,190.0,2.0,37.767133,-122.436098,2015-10-21 20:56:10.364410
8392276,44219367,Private room,,Noe Valley,0,,,,140.0,1.0,37.749004,-122.44347,2015-10-21 17:01:28.273546
3743348,3571793,Private room,,Ocean View,9,4.5,2.0,1.0,60.0,2.0,37.72398,-122.458158,2015-10-22 00:17:02.631533
302618,1282022,Private room,,Bayview,228,4.5,,,70.0,1.0,37.733508,-122.390237,2015-10-21 17:35:21.470299
2008862,239964,Entire home/apt,,Mission,14,4.5,4.0,1.0,168.0,3.0,37.7579,-122.413079,2015-10-22 00:30:48.081224
3711055,6446206,Private room,,Mission,2,3.5,1.0,1.0,118.0,5.0,37.766851,-122.418995,2015-10-21 22:48:26.810977
4179454,2982951,Entire home/apt,,Potrero Hill,26,5.0,5.0,2.0,300.0,3.0,37.761344,-122.394813,2015-10-22 23:31:51.365285
6587558,23551027,Private room,,Inner Richmond,0,,1.0,1.0,75.0,7.0,37.776438,-122.457108,2015-10-22 01:06:49.609221
2876562,997788,Entire home/apt,,Noe Valley,106,5.0,5.0,1.0,175.0,2.0,37.754698,-122.436576,2015-10-22 00:32:49.729234
8409087,44297068,Private room,,Downtown/Civic Center,0,,,,140.0,1.0,37.782861,-122.417213,2015-10-21 17:35:55.121915
4181776,21694339,Entire home/apt,,Castro/Upper Market,10,5.0,5.0,3.0,370.0,5.0,37.759578,-122.433267,2015-10-22 13:29:00.184887
2677798,13507498,Private room,,Nob Hill,0,,2.0,1.0,140.0,1.0,37.795109,-122.414129,2015-10-22 00:13:35.912235
1686784,5042039,Entire home/apt,,North Beach,121,5.0,,,450.0,,37.799808,-122.405077,2015-10-21 14:20:49.644493
1300810,4834453,Entire home/apt,,Bernal Heights,4,5.0,5.0,2.0,185.0,2.0,37.744451,-122.421162,2015-10-21 23:10:49.130070
1247160,4836019,Private room,,Western Addition,9,3.5,2.0,1.0,55.0,30.0,37.776971,-122.438948,2015-10-22 14:51:12.320384
8481021,44666655,Entire home/apt,,Mission,0,,,,250.0,1.0,37.759589,-122.421855,2015-10-21 13:43:49.659386
4787844,9127177,Private room,,Mission,1,5.0,2.0,1.0,80.0,2.0,37.754531,-122.414235,2015-10-22 23:05:28.023564
338013,687989,Entire home/apt,,Western Addition,23,4.5,4.0,2.0,210.0,5.0,37.783274,-122.441614,2015-10-22 15:46:40.172446
8456278,370518,Entire home/apt,,Financial District,1,5.0,4.0,0.0,225.0,1.0,37.79617,-122.396889,2015-10-21 23:57:37.532824
715754,3685746,Entire home/apt,,Haight Ashbury,72,5.0,,,168.0,30.0,37.767205,-122.445866,2015-10-21 15:51:11.640016
1093088,4586440,Private room,,Mission,83,4.5,,,68.0,3.0,37.767777,-122.424338,2015-10-21 16:28:10.168974
942688,1692181,Entire home/apt,,Mission,15,5.0,4.0,1.0,500.0,3.0,37.765004,-122.423362,2015-10-22 12:21:55.228044
8271855,43590469,Entire home/apt,,Inner Richmond,3,4.5,,,250.0,4.0,37.783514,-122.46008,2015-10-21 14:31:20.519589
4510438,5661521,Entire home/apt,,South of Market,4,4.5,,,135.0,3.0,37.781232,-122.40994,2015-10-21 18:23:37.324517
7259606,37952450,Private room,,Outer Sunset,3,4.5,1.0,1.0,90.0,3.0,37.761391,-122.506236,2015-10-21 20:44:37.040658
6716377,35165663,Entire home/apt,,Lakeshore,5,4.0,4.0,1.0,125.0,2.0,37.717081,-122.477246,2015-10-23 01:12:56.836516
5405387,28019685,Private room,,Nob Hill,0,,2.0,1.0,180.0,1.0,37.795824,-122.421557,2015-10-22 00:23:11.539042
10824,38836,Entire home/apt,,Western Addition,12,5.0,,3.0,277.0,3.0,37.77355,-122.424362,2015-10-23 00:20:05.138727
1344752,417366,Entire home/apt,,Western Addition,60,4.5,,,388.0,,37.785581,-122.444136,2015-10-21 13:39:27.547596
2172411,4740696,Private room,,Twin Peaks,24,4.5,2.0,1.0,100.0,1.0,37.746941,-122.445239,2015-10-22 14:12:06.720832
8305102,43788303,Private room,,Outer Richmond,5,4.5,,,105.0,1.0,37.781393,-122.479131,2015-10-21 15:34:40.625226
727969,3729230,Entire home/apt,,Castro/Upper Market,84,5.0,5.0,1.0,200.0,1.0,37.756602,-122.43108,2015-10-22 15:13:46.729073
1892718,1349586,Shared room,,South of Market,3,5.0,4.0,1.0,36.0,30.0,37.773531,-122.402033,2015-10-22 20:01:17.513535
4102049,6003026,Private room,,Excelsior,1,5.0,,,100.0,2.0,37.728887,-122.42818,2015-10-21 16:16:15.233751
7807401,22053410,Shared room,,Inner Richmond,0,,,,75.0,1.0,37.781333,-122.454758,2015-10-21 19:49:13.982407
3283447,1118993,Private room,,Western Addition,62,5.0,,,131.0,1.0,37.774904,-122.43114,2015-10-21 14:23:37.334029
