correct_name,wrong_name
Søråshøgda,Smøråshøgda
Torgallmenningen,Torgalmenningen
Dreggsallmenningen,Dreggsallmenning
Lars Hilles gate,Lars Hillesgate
Haakon Sheteligs plass,Haakon Shetelings plass
Vestre Murallmenningen,Vestre murallmenningen
Herman Foss’ gate,Herman Foss' gate
Totlandsvegen,Totlandsveien
Nesttunvegen,Nesttunveien
Dreggsallmenningen,Dreggsallmenning
C. Sundts gate,C.Sundtsgate
Espelandsvegen,Espelandsveien
Travparkvegen,Travparkveien
Herman Foss’ gate,Herman Foss' gate
Vilhelm Bjerknes’ vei,Vilhelm Bjerknesvei
