room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
958,1169,Entire home/apt,,Western Addition,28,5.0,3,1.0,180.0,2,37.76931,-122.433856,2014-08-25 01:57:44.057
2822,3163,Private room,,Bayview,27,5.0,2,1.0,135.0,1,37.728192,-122.397966,2014-08-24 23:45:14.571
3850,4921,Private room,,Inner Sunset,92,4.5,3,1.0,78.0,1,37.754021,-122.458048,2014-08-25 00:51:09.018
5193,7476,Entire home/apt,,Nob Hill,121,4.5,2,1.0,158.0,1,37.795468,-122.416803,2014-08-25 03:37:16.489
5841,10038,Entire home/apt,,Mission,24,4.5,3,1.0,171.0,2,37.752237,-122.422209,2014-08-25 01:34:19.987
5858,8904,Entire home/apt,,Bernal Heights,106,5.0,2,2.0,282.0,5,37.745112,-122.421018,2014-08-25 01:03:32.296
7918,21994,Private room,,Haight Ashbury,11,4.0,2,1.0,73.0,7,37.76669,-122.452505,2014-08-25 01:50:22.421
8014,22402,Private room,,Outer Mission,17,4.5,1,1.0,51.0,2,37.730746,-122.448409,2014-08-25 02:04:59.225
8142,21994,Private room,,Haight Ashbury,0,,2,1.0,78.0,7,37.764872,-122.451828,2014-08-25 01:30:17.688
8339,24215,Entire home/apt,,Western Addition,21,5.0,4,2.0,423.0,4,37.773147,-122.436077,2014-08-25 01:27:34.131
8567,25601,Entire home/apt,,Western Addition,11,4.5,6,2.0,282.0,3,37.784707,-122.445554,2014-08-26 12:03:16.244
8727,26657,Entire home/apt,,Noe Valley,5,5.0,4,1.0,310.0,1,37.751336,-122.432593,2014-08-25 01:39:45.648
8739,7149,Private room,,Mission,251,5.0,3,1.0,135.0,1,37.755592,-122.423657,2014-08-25 01:30:22.914
8775,27037,Entire home/apt,,Mission,7,5.0,4,3.0,242.0,3,37.75174,-122.409421,2014-08-25 01:32:43.646
9225,29674,Entire home/apt,,Potrero Hill,123,5.0,2,1.0,141.0,1,37.76241,-122.405179,2014-08-24 23:43:38.980
10251,35199,Entire home/apt,,Mission,168,5.0,6,2.0,237.0,3,37.758743,-122.413272,2014-08-25 02:24:12.905
11319,40148,Entire home/apt,,Nob Hill,6,4.0,3,1.0,276.0,3,37.792588,-122.414816,2014-08-25 00:16:58.397
11395,42266,Entire home/apt,,Bernal Heights,28,5.0,3,1.0,220.0,2,37.747133,-122.420643,2014-08-25 02:50:58.982
11490,42681,Private room,,Nob Hill,38,5.0,2,1.0,157.0,2,37.790731,-122.41283,2014-08-25 00:18:56.223
11825,44499,Private room,,Haight Ashbury,160,4.5,2,1.0,71.0,2,37.774814,-122.437846,2014-08-25 03:29:25.574
12006,45408,Entire home/apt,,Potrero Hill,9,5.0,8,3.0,367.0,4,37.763419,-122.394335,2014-08-26 15:36:02.387
12041,21994,Private room,,Haight Ashbury,2,4.0,1,1.0,107.0,7,37.770258,-122.445682,2014-08-25 00:49:34.710
