room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
229240,1188,329072,Shared room,,San Francisco,,Financial District,199,4.5,4,1.0,,135.0,,2017-05-05 16:55:48.596342,37.793414,-122.403399,0101000020E61000004D0F0A4AD1995EC0221807978EE54240
18273709,1188,116611774,Shared room,,San Francisco,,South of Market,0,0.0,4,1.0,,105.0,,2017-05-05 16:55:37.371069,37.77273,-122.389283,0101000020E6100000E2783E03EA985EC0AD510FD1E8E24240
1809000,1188,7094468,Shared room,,San Francisco,,Mission,3,5.0,2,1.0,,94.0,,2017-05-05 16:55:34.463831,37.750933,-122.405072,0101000020E61000009F211CB3EC995EC05C3E92921EE04240
4902365,1188,22931450,Shared room,,San Francisco,,North Beach,76,4.5,4,1.0,,85.0,,2017-05-05 16:55:34.449426,37.799333,-122.406286,0101000020E6100000A6B4FE96009A5EC089CE328B50E64240
1738190,1188,7431192,Shared room,,San Francisco,,South of Market,0,0.0,2,1.0,,75.0,,2017-05-05 16:55:31.828509,37.77449,-122.420032,0101000020E610000081D1E5CDE19A5EC01E8A027D22E34240
4347535,1188,3344775,Shared room,,San Francisco,,Western Addition,0,0.0,1,1.0,,400.0,,2017-05-05 16:55:27.857806,37.770644,-122.436452,0101000020E610000086915ED4EE9B5EC0E76D6C76A4E24240
7528301,1188,5164455,Shared room,,San Francisco,,Pacific Heights,1,0.0,1,1.0,,250.0,,2017-05-05 16:55:26.465298,37.794576,-122.426172,0101000020E6100000239EEC66469B5EC0DF1797AAB4E54240
14500176,1188,3576729,Shared room,,San Francisco,,Mission,1,0.0,2,1.0,,300.0,,2017-05-05 16:55:26.461943,37.768049,-122.42569,0101000020E6100000FE0E45813E9B5EC0DD5CFC6D4FE24240
2846662,1188,9476237,Shared room,,San Francisco,,Pacific Heights,1,0.0,3,1.0,,250.0,,2017-05-05 16:55:26.447985,37.796174,-122.431614,0101000020E6100000BA9F53909F9B5EC077F69507E9E54240
10747952,1188,55567217,Shared room,,San Francisco,,Potrero Hill,0,0.0,2,1.0,,200.0,,2017-05-05 16:55:24.964463,37.761797,-122.398136,0101000020E61000000ED76A0F7B995EC07098689082E14240
11080673,1188,20612226,Shared room,,San Francisco,,Downtown/Civic Center,0,0.0,2,1.0,,200.0,,2017-05-05 16:55:24.960725,37.774905,-122.420798,0101000020E6100000390EBC5AEE9A5EC0E140481630E34240
3238142,1188,10512083,Shared room,,San Francisco,,Mission,156,4.5,4,1.0,,195.0,,2017-05-05 16:55:24.950132,37.755237,-122.421909,0101000020E6100000D6389B8E009B5EC055DD239BABE04240
13558325,1188,78101035,Shared room,,San Francisco,,Outer Richmond,0,0.0,2,1.0,,200.0,,2017-05-05 16:55:24.944658,37.782934,-122.478551,0101000020E6100000F59D5F94A09E5EC096766A2E37E44240
8404771,1188,36471102,Shared room,,San Francisco,,Bayview,0,0.0,1,1.0,,150.0,,2017-05-05 16:55:24.245130,37.738795,-122.40218,0101000020E6100000BDC62E51BD995EC063B9A5D590DE4240
4081570,1188,21170180,Shared room,,San Francisco,,South of Market,0,0.0,1,1.0,,175.0,,2017-05-05 16:55:24.242286,37.780513,-122.397095,0101000020E6100000ED9925016A995EC02A8D98D9E7E34240
4833664,1188,2522761,Shared room,,San Francisco,,Downtown/Civic Center,1,0.0,1,1.0,,170.0,,2017-05-05 16:55:24.236988,37.788733,-122.413018,0101000020E610000032AA0CE36E9A5EC05323F433F5E44240
8306266,1188,43793752,Shared room,,San Francisco,,South of Market,14,5.0,1,1.0,,155.0,,2017-05-05 16:55:24.234239,37.779889,-122.402881,0101000020E610000081CB63CDC8995EC04CC11A67D3E34240
6557381,1188,20163760,Shared room,,San Francisco,,Western Addition,0,0.0,2,1.0,,150.0,,2017-05-05 16:55:24.231416,37.778794,-122.436682,0101000020E61000001F300F99F29B5EC017299485AFE34240
3821508,1188,18776658,Shared room,,San Francisco,,Nob Hill,16,5.0,3,1.0,,159.0,,2017-05-05 16:55:24.228837,37.789729,-122.412503,0101000020E61000001FA0FB72669A5EC0F5D901D715E54240
10839934,1188,8334445,Shared room,,San Francisco,,Western Addition,0,0.0,2,1.0,,160.0,,2017-05-05 16:55:24.226625,37.774644,-122.432634,0101000020E6100000CF488446B09B5EC07505DB8827E34240
4170452,1188,21408671,Shared room,,San Francisco,,Inner Richmond,1,0.0,1,1.0,,150.0,,2017-05-05 16:55:24.221509,37.773817,-122.469664,0101000020E6100000F20698F90E9E5EC05F0B7A6F0CE34240
213283,1188,1099699,Shared room,,San Francisco,,Mission,57,5.0,3,1.0,,140.0,,2017-05-05 16:55:22.195568,37.756339,-122.415012,0101000020E6100000A5DC7D8E8F9A5EC03CD862B7CFE04240
9529057,1188,5181498,Shared room,,San Francisco,,Inner Sunset,0,0.0,1,1.0,,105.0,,2017-05-05 16:55:21.385905,37.764785,-122.462207,0101000020E6100000DE3EABCC949D5EC056BC9179E4E14240
12654739,1188,9211316,Shared room,,San Francisco,,Nob Hill,0,0.0,1,1.0,,100.0,,2017-05-05 16:55:21.381424,37.790782,-122.414107,0101000020E6100000DC82A5BA809A5EC0FB21365838E54240
8713608,1188,4352266,Shared room,,San Francisco,,South of Market,0,0.0,2,1.0,,100.0,,2017-05-05 16:55:21.378424,37.784061,-122.405171,0101000020E610000068925852EE995EC0D788601C5CE44240
6750199,1188,25714209,Shared room,,San Francisco,,Downtown/Civic Center,4,5.0,2,1.0,,110.0,,2017-05-05 16:55:21.375168,37.785847,-122.416518,0101000020E6100000800C1D3BA89A5EC071546EA296E44240
7419076,1188,38863639,Shared room,,San Francisco,,Diamond Heights,0,0.0,1,1.0,,120.0,,2017-05-05 16:55:21.353676,37.744062,-122.439526,0101000020E610000078EFA831219C5EC02219726C3DDF4240
16606328,1188,4582815,Shared room,,San Francisco,,Financial District,13,4.5,2,1.0,,120.0,,2017-05-05 16:55:21.349024,37.784647,-122.399711,0101000020E61000007E3672DD94995EC0C7F319506FE44240
8504147,1188,28304379,Shared room,,San Francisco,,Mission,0,0.0,2,1.0,,100.0,,2017-05-05 16:55:19.853917,37.75847,-122.407347,0101000020E6100000EBC726F9119A5EC0A27F828B15E14240
12720208,1188,69161680,Shared room,,San Francisco,,Western Addition,0,0.0,1,1.0,,80.0,,2017-05-05 16:55:19.845451,37.780095,-122.433819,0101000020E61000008A58C4B0C39B5EC0F6622827DAE34240
11528376,1188,14488206,Shared room,,San Francisco,,Mission,0,0.0,1,1.0,,100.0,,2017-05-05 16:55:19.838095,37.751365,-122.408968,0101000020E610000013471E882C9A5EC0F52D73BA2CE04240
11021380,1188,614348,Shared room,,San Francisco,,Inner Sunset,1,0.0,2,1.0,,99.0,,2017-05-05 16:55:19.831332,37.764562,-122.457307,0101000020E6100000D74E9484449D5EC0D6E1E82ADDE14240
11638464,1188,61691252,Shared room,,San Francisco,,Nob Hill,1,0.0,1,1.0,,100.0,,2017-05-05 16:55:19.828148,37.794078,-122.41509,0101000020E610000063B9A5D5909A5EC08E3C1059A4E54240
10734875,1188,55493537,Shared room,,San Francisco,,Outer Sunset,11,5.0,2,1.0,,100.0,,2017-05-05 16:55:19.825715,37.760919,-122.508477,0101000020E61000002A711DE38AA05EC0D8F335CB65E14240
16464767,1188,2750828,Shared room,,San Francisco,,Mission,1,0.0,1,1.0,,99.0,,2017-05-05 16:55:19.795593,37.751589,-122.421867,0101000020E6100000BF1072DEFF9A5EC045847F1134E04240
8598745,1188,45251621,Shared room,,San Francisco,,Nob Hill,0,0.0,1,1.0,,85.0,,2017-05-05 16:55:19.792650,37.79119,-122.420715,0101000020E6100000F27B9BFEEC9A5EC00C76C3B645E54240
14610133,1188,69716994,Shared room,,San Francisco,,Chinatown,4,5.0,1,1.0,,88.0,,2017-05-05 16:55:19.789319,37.797211,-122.407981,0101000020E6100000EC18575C1C9A5EC0778192020BE64240
8037572,1188,6990092,Shared room,,San Francisco,,Western Addition,77,4.5,2,1.0,,88.0,,2017-05-05 16:55:19.782930,37.774602,-122.42991,0101000020E61000004C8E3BA5839B5EC046B5882826E34240
7181819,1188,17018982,Shared room,,San Francisco,,North Beach,33,5.0,1,1.0,,90.0,,2017-05-05 16:55:19.775987,37.804307,-122.412341,0101000020E6100000327381CB639A5EC0D1782288F3E64240
1711403,1188,1110789,Shared room,,San Francisco,,Western Addition,86,5.0,3,1.0,,85.0,,2017-05-05 16:55:19.771835,37.782553,-122.443936,0101000020E610000017618A72699C5EC07F315BB22AE44240
6910758,1188,30920210,Shared room,,San Francisco,,South of Market,166,5.0,2,1.0,,99.0,,2017-05-05 16:55:19.768366,37.775244,-122.407506,0101000020E61000001FBB0B94149A5EC0CA3505323BE34240
8377605,1188,9744251,Shared room,,San Francisco,,Western Addition,8,4.5,14,1.0,,69.0,,2017-05-05 16:55:17.797800,37.784029,-122.423548,0101000020E6100000511212691B9B5EC0CB0EF10F5BE44240
13191340,1188,10623716,Shared room,,San Francisco,,South of Market,1,0.0,1,1.0,,80.0,,2017-05-05 16:55:17.760632,37.774037,-122.396721,0101000020E6100000BB287AE063995EC06D72F8A413E34240
3139003,1188,15694468,Shared room,,San Francisco,,Mission,0,0.0,1,1.0,,75.0,,2017-05-05 16:55:17.753186,37.761304,-122.408768,0101000020E6100000AFE94141299A5EC03128D36872E14240
11461771,1188,9744251,Shared room,,San Francisco,,Downtown/Civic Center,7,4.0,14,1.0,,69.0,,2017-05-05 16:55:17.749926,37.782079,-122.421775,0101000020E61000004ED1915CFE9A5EC0B7F1272A1BE44240
12270642,1188,22931450,Shared room,,San Francisco,,North Beach,25,4.5,2,1.0,,69.0,,2017-05-05 16:55:17.739640,37.799248,-122.404596,0101000020E6100000EA059FE6E4995EC05BB22AC24DE64240
18361820,1188,1377490,Shared room,,San Francisco,,South of Market,0,0.0,1,1.0,,80.0,,2017-05-05 16:55:17.735700,37.781258,-122.389336,0101000020E6100000F3C98AE1EA985EC083DE1B4300E44240
8256165,1188,18682626,Shared room,,San Francisco,,South of Market,0,0.0,1,1.0,,70.0,,2017-05-05 16:55:17.730557,37.778477,-122.393829,0101000020E6100000D9CD8C7E34995EC017D86322A5E34240
15418986,1188,8491531,Shared room,,San Francisco,,Western Addition,1,0.0,1,1.0,,65.0,,2017-05-05 16:55:17.717877,37.774683,-122.434025,0101000020E61000005F29CB10C79B5EC033E202D028E34240
14040855,1188,84133769,Shared room,,San Francisco,,South of Market,9,5.0,1,1.0,,69.0,,2017-05-05 16:55:17.694575,37.781508,-122.390068,0101000020E6100000D5CDC5DFF6985EC0FCC7427408E44240
14383718,1188,69249358,Shared room,,San Francisco,,Western Addition,3,5.0,1,1.0,,75.0,,2017-05-05 16:55:17.690583,37.783098,-122.445781,0101000020E6100000670B08AD879C5EC011C8258E3CE44240
6433637,1188,3673651,Shared room,,San Francisco,,Mission,3,4.5,1,1.0,,75.0,,2017-05-05 16:55:17.680370,37.749619,-122.420938,0101000020E610000032E9EFA5F09A5EC0E9BAF083F3DF4240
7844269,1188,41334972,Shared room,,San Francisco,,Mission,0,0.0,1,1.0,,75.0,,2017-05-05 16:55:16.107098,37.760614,-122.422745,0101000020E61000000B630B410E9B5EC09B70AFCC5BE14240
8277136,1188,7386041,Shared room,,San Francisco,,South of Market,1,0.0,1,1.0,,72.0,,2017-05-05 16:55:16.102961,37.778446,-122.394132,0101000020E6100000A7936C7539995EC0DCD9571EA4E34240
1566931,1188,916362,Shared room,,San Francisco,,Marina,22,5.0,1,1.0,,75.0,,2017-05-05 16:55:16.099183,37.802492,-122.429525,0101000020E61000001FF46C567D9B5EC09CA6CF0EB8E64240
5468835,1188,16556725,Shared room,,San Francisco,,Downtown/Civic Center,65,5.0,1,1.0,,60.0,,2017-05-05 16:55:16.073698,37.781171,-122.421414,0101000020E6100000E6046D72F89A5EC0B4CA4C69FDE34240
17130200,1188,11186281,Shared room,,San Francisco,,South of Market,0,0.0,4,1.0,,60.0,,2017-05-05 16:55:16.067841,37.781882,-122.406216,0101000020E61000002AC76471FF995EC061AA99B514E44240
14616761,1188,43574594,Shared room,,San Francisco,,Western Addition,2,0.0,1,1.0,,70.0,,2017-05-05 16:55:16.064050,37.775351,-122.43464,0101000020E610000024624A24D19B5EC0E0F599B33EE34240
15389724,1188,20385008,Shared room,,San Francisco,,Excelsior,0,0.0,3,1.0,,70.0,,2017-05-05 16:55:16.060374,37.717368,-122.431864,0101000020E61000007714E7A8A39B5EC03599F1B6D2DB4240
7807401,1188,22053410,Shared room,,San Francisco,,Inner Richmond,0,0.0,1,1.0,,75.0,,2017-05-05 16:55:16.057151,37.781333,-122.454758,0101000020E61000000A664CC11A9D5EC08D2441B802E44240
9497143,1188,31164141,Shared room,,San Francisco,,Outer Richmond,0,0.0,1,1.0,,67.0,,2017-05-05 16:55:16.053845,37.778717,-122.485166,0101000020E610000065C8B1F50C9F5EC06CEBA7FFACE34240
12253023,1188,5164455,Shared room,,San Francisco,,Pacific Heights,0,0.0,1,1.0,,60.0,,2017-05-05 16:55:16.048354,37.795361,-122.427044,0101000020E6100000FE7C5BB0549B5EC0C6C1A563CEE54240
1056844,1188,757108,Shared room,,San Francisco,,Financial District,105,5.0,1,1.0,,75.0,,2017-05-05 16:55:16.044822,37.790096,-122.395933,0101000020E61000000F9A5DF756995EC0A759A0DD21E54240
11297447,1188,22931450,Shared room,,San Francisco,,North Beach,39,5.0,2,1.0,,69.0,,2017-05-05 16:55:16.038399,37.798492,-122.404073,0101000020E6100000950C0055DC995EC00F0F61FC34E64240
12205354,1188,65392037,Shared room,,San Francisco,,South of Market,72,4.5,2,1.0,,80.0,,2017-05-05 16:55:16.025282,37.778855,-122.403632,0101000020E61000009FE74F1BD5995EC0BDA94885B1E34240
14610156,1188,69716994,Shared room,,San Francisco,,Russian Hill,39,5.0,1,1.0,,63.0,,2017-05-05 16:55:16.009226,37.79893,-122.410394,0101000020E6100000601E32E5439A5EC08AE5965643E64240
7902889,1188,4261846,Shared room,,San Francisco,,South of Market,94,5.0,1,1.0,,75.0,,2017-05-05 16:55:15.998326,37.78594,-122.394088,0101000020E6100000BFEFDFBC38995EC0224F92AE99E44240
12857179,1188,329072,Shared room,,San Francisco,,Financial District,15,4.5,4,1.0,,45.0,,2017-05-05 16:55:14.376644,37.794714,-122.403286,0101000020E6100000D13B1570CF995EC030D63730B9E54240
12857087,1188,329072,Shared room,,San Francisco,,Financial District,12,4.5,4,1.0,,45.0,,2017-05-05 16:55:14.372533,37.794541,-122.403149,0101000020E6100000919A7631CD995EC0632AFD84B3E54240
785901,1188,329072,Shared room,,San Francisco,,Financial District,74,4.5,4,1.0,,45.0,,2017-05-05 16:55:14.367708,37.793125,-122.404429,0101000020E610000074232C2AE2995EC0EC51B81E85E54240
786492,1188,329072,Shared room,,San Francisco,,Financial District,76,4.5,4,1.0,,45.0,,2017-05-05 16:55:14.365544,37.794208,-122.403105,0101000020E6100000A9F6E978CC995EC05C1C959BA8E54240
12857011,1188,329072,Shared room,,San Francisco,,Financial District,10,4.5,4,1.0,,45.0,,2017-05-05 16:55:14.362366,37.793246,-122.403262,0101000020E61000000D6E6B0BCF995EC067D7BD1589E54240
12853799,1188,329072,Shared room,,San Francisco,,Financial District,19,5.0,4,1.0,,45.0,,2017-05-05 16:55:14.358603,37.793477,-122.40335,0101000020E6100000DDB5847CD0995EC0699082A790E54240
259621,1188,329072,Shared room,,San Francisco,,Financial District,94,4.5,4,1.0,,45.0,,2017-05-05 16:55:14.356098,37.794697,-122.403737,0101000020E6100000DACBB6D3D6995EC05A9D9CA1B8E54240
12857222,1188,329072,Shared room,,San Francisco,,Financial District,19,4.5,4,1.0,,45.0,,2017-05-05 16:55:14.349955,37.793044,-122.403238,0101000020E610000049A0C1A6CE995EC0FF243E7782E54240
10070717,1188,51673718,Shared room,,San Francisco,,Visitacion Valley,20,4.5,1,1.0,,45.0,,2017-05-05 16:55:14.332215,37.713016,-122.413767,0101000020E6100000804A95287B9A5EC02BC3B81B44DB4240
241235,1188,329072,Shared room,,San Francisco,,Financial District,191,4.5,4,1.0,,45.0,,2017-05-05 16:55:13.725349,37.792708,-122.403826,0101000020E610000091D10149D8995EC087A3AB7477E54240
259622,1188,329072,Shared room,,San Francisco,,Financial District,122,4.5,4,1.0,,45.0,,2017-05-05 16:55:13.722072,37.79441,-122.404725,0101000020E6100000E9B7AF03E7995EC0C4CE143AAFE54240
10070425,1188,51673718,Shared room,,San Francisco,,Visitacion Valley,19,4.5,1,1.0,,45.0,,2017-05-05 16:55:13.719109,37.714797,-122.413706,0101000020E61000002D0ABB287A9A5EC0B323D5777EDB4240
72444,1188,329072,Shared room,,San Francisco,,Financial District,191,4.5,4,1.0,,45.0,,2017-05-05 16:55:13.691686,37.793088,-122.404431,0101000020E6100000459F8F32E2995EC0CE6C57E883E54240
10070413,1188,51673718,Shared room,,San Francisco,,Visitacion Valley,14,4.5,1,1.0,,45.0,,2017-05-05 16:55:13.687475,37.714033,-122.413627,0101000020E6100000876F61DD789A5EC0E4A1EF6E65DB4240
7746463,1188,5697150,Shared room,,San Francisco,,Mission,3,5.0,1,1.0,,49.0,,2017-05-05 16:55:13.684525,37.759037,-122.418827,0101000020E6100000A2EBC20FCE9A5EC01BBAD91F28E14240
17608446,1188,119685936,Shared room,,San Francisco,,Western Addition,2,0.0,1,1.0,,50.0,,2017-05-05 16:55:13.681555,37.778475,-122.430846,0101000020E610000032E719FB929B5EC076E09C11A5E34240
18445508,1188,118092342,Shared room,,San Francisco,,South of Market,0,0.0,1,1.0,,50.0,,2017-05-05 16:55:13.677568,37.783563,-122.398691,0101000020E6100000698D412784995EC086ADD9CA4BE44240
786506,1188,329072,Shared room,,San Francisco,,Financial District,77,4.5,4,1.0,,45.0,,2017-05-05 16:55:13.674800,37.792597,-122.403395,0101000020E6100000AD174339D1995EC030F488D173E54240
12274606,1188,3838854,Shared room,,San Francisco,,Western Addition,0,0.0,1,1.0,,60.0,,2017-05-05 16:55:13.671641,37.776374,-122.432864,0101000020E610000068E7340BB49B5EC07BBB253960E34240
17647870,1188,25272278,Shared room,,San Francisco,,South of Market,0,0.0,1,1.0,,60.0,,2017-05-05 16:55:13.663295,37.777734,-122.410366,0101000020E6100000FB58C16F439A5EC05F7EA7C98CE34240
10888070,1188,28976328,Shared room,,San Francisco,,Downtown/Civic Center,4,5.0,1,1.0,,60.0,,2017-05-05 16:55:13.656171,37.779587,-122.421343,0101000020E61000008159A148F79A5EC081B1BE81C9E34240
13636171,1188,33663709,Shared room,,San Francisco,,Financial District,0,0.0,2,1.0,,41.0,,2017-05-05 16:55:12.758482,37.792234,-122.393991,0101000020E6100000C6FA062637995EC0BF6378EC67E54240
