"Year","Ceremony","Award","Winner","Name","Film","Year_numeric","script_id","imdb_id","total_words","characters","year","title"
"2015",88,"Writing (Original Screenplay)",1,"Spotlight","Written by Josh Singer & Tom McCarthy",2015,8089,"tt1895587",14065,19,2015,"Spotlight"
"2015",88,"Writing (Adapted Screenplay)",1,"The Big Short","Screenplay by Charles Randolph and Adam McKay",2015,5496,"tt1596363",9513,22,2015,"The Big Short"
"2015",88,"Best Picture",1,"Spotlight","Michael Sugar, Steve Golin, Nicole Rocklin and Blye Pagon Faust, Producers",2015,8089,"tt1895587",14065,19,2015,"Spotlight"
"2015",88,"Animated Feature Film",1,"Inside Out","Pete Docter and Jonas Rivera",2015,5424,"tt2096673",7532,8,2015,"Inside Out"
"2014",87,"Writing (Original Screenplay)",1,"Birdman or (The Unexpected Virtue of Ignorance)","Written by Alejandro G. Iñárritu, Nicolás Giacobone, Alexander Dinelaris, Jr. & Armando Bo",2014,5385,"tt2562232",9907,10,2014,"Birdman or (The Unexpected Virtue of Ignorance)"
"2014",87,"Writing (Adapted Screenplay)",1,"The Imitation Game","Written by Graham Moore",2014,5419,"tt2084970",10634,14,2014,"The Imitation Game"
"2014",87,"Visual Effects",1,"Interstellar","Paul Franklin, Andrew Lockley, Ian Hunter and Scott Fisher",2014,6092,"tt0816692",9463,13,2014,"Interstellar"
"2014",87,"Sound Mixing",1,"Whiplash","Craig Mann, Ben Wilkins and Thomas Curley",2014,6905,"tt2582802",8892,9,2014,"Whiplash"
"2014",87,"Sound Editing",1,"American Sniper","Alan Robert Murray and Bub Asman",2014,7413,"tt2179136",4042,12,2014,"American Sniper"
"2014",87,"Short Film (Animated)",1,"Feast","Patrick Osborne and Kristina Reed",2014,910,"tt0426459",5416,16,2005,"Feast"
"2014",87,"Best Picture",1,"Birdman or (The Unexpected Virtue of Ignorance)","Alejandro G. Iñárritu, John Lesher and James W. Skotchdopole, Producers",2014,5385,"tt2562232",9907,10,2014,"Birdman or (The Unexpected Virtue of Ignorance)"
"2014",87,"Music (Original Score)",1,"The Grand Budapest Hotel","Alexandre Desplat",2014,5501,"tt2278388",8357,10,2014,"The Grand Budapest Hotel"
"2014",87,"Makeup and Hairstyling",1,"The Grand Budapest Hotel","Frances Hannon and Mark Coulier",2014,5501,"tt2278388",8357,10,2014,"The Grand Budapest Hotel"
"2014",87,"Costume Design",1,"The Grand Budapest Hotel","Milena Canonero",2014,5501,"tt2278388",8357,10,2014,"The Grand Budapest Hotel"
"2014",87,"Cinematography",1,"Birdman or (The Unexpected Virtue of Ignorance)","Emmanuel Lubezki",2014,5385,"tt2562232",9907,10,2014,"Birdman or (The Unexpected Virtue of Ignorance)"
"2013",86,"Writing (Original Screenplay)",1,"Her","Written by Spike Jonze",2013,4352,"tt1798709",10225,10,2013,"Her"
"2013",86,"Writing (Adapted Screenplay)",1,"12 Years a Slave","Screenplay by John Ridley",2013,1517,"tt2024544",19628,28,2013,"12 Years a Slave"
"2013",86,"Visual Effects",1,"Gravity","Tim Webber, Chris Lawrence, David Shirk and Neil Corbould",2013,2445,"tt1454468",5669,3,2013,"Gravity"
"2013",86,"Sound Editing",1,"Gravity","Glenn Freemantle",2013,2445,"tt1454468",5669,3,2013,"Gravity"
"2014",87,"Directing",1,"Birdman or (The Unexpected Virtue of Ignorance)","Alejandro G. Iñárritu",2014,5385,"tt2562232",9907,10,2014,"Birdman or (The Unexpected Virtue of Ignorance)"
"2013",86,"Best Picture",1,"12 Years a Slave","Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen and Anthony Katagas, Producers",2013,1517,"tt2024544",19628,28,2013,"12 Years a Slave"
"2013",86,"Makeup and Hairstyling",1,"Dallas Buyers Club","Adruitha Lee and Robin Mathews",2013,4065,"tt0790636",7363,11,2013,"Dallas Buyers Club"
"2013",86,"Directing",1,"Gravity","Alfonso Cuarón",2013,2445,"tt1454468",5669,3,2013,"Gravity"
"2013",86,"Costume Design",1,"The Great Gatsby","Catherine Martin",2013,5489,"tt1343092",10502,9,2013,"The Great Gatsby"
"2013",86,"Animated Feature Film",1,"Frozen","Chris Buck, Jennifer Lee and Peter Del Vecho",2013,2343,"tt2294629",6797,8,2013,"Frozen"
"2012",85,"Writing (Adapted Screenplay)",1,"Argo","Screenplay by Chris Terrio",2012,1691,"tt1024648",9264,18,2012,"Argo"
